uniprotswissprot,ensembl_gene_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
P38883,YHR197W,13.9997353810584,12.1962210367507,13.7747780911384,11.8870428009156,11.4514440817456,11.2067527503827,8.63297896492149,10.9955510775431,10.3290098884655,10.0903329862818,10.9274662250022,11.609478456448,9.09823503941658,9.17832225778534,8.41037580370318,11.5206016498858,10.4566516594007,9.74532554317329,9.86356754017523,7.85465324900009,6.73317891823659,8.77289336299601,9.07927295404943,9.38952673442378,7.45896402687543,8.24566771440958,10.6128514490595,8.58693758679237,8.69627388585635,10.35742647799
P38884,YHR198C,32.7608506684715,31.1638788179721,31.0155105206722,38.9335073186988,40.9385871241473,35.8980504217949,30.4509715163118,27.1449244945556,30.8051849857459,25.3636681308441,30.8145856187838,31.5685004033592,27.3861119909994,33.7603203519099,25.1501116180474,27.1196950193834,30.3246509804671,32.837140867907,31.933809283252,40.4116337451269,27.3161691344276,41.1372857466223,31.4934879294257,34.7740244034817,24.8929675667524,26.4949687434552,43.4087352513482,30.5753973119323,32.2352693815258,34.4439704001608
P38885,YHR199C,2.44867651973233,1.83100727469466,1.59598666907194,6.37100621245325,2.85533969196541,3.39560802190198,1.8003229585845,3.53079045001575,3.88175822377936,2.30675451985397,2.4891041861823,3.1652233112809,3.02857973763313,3.75448347654692,NA,2.29184195253002,2.66100377386686,1.72324439454145,2.38714419143589,2.18570126771882,2.31977019884417,2.16960010868236,1.68683263622906,2.78717778795716,1.76518566718797,2.23691026815074,NA,2.45045785859748,2.44807733895623,2.52960336888017
P38886,YHR200W,2063.30661151809,2234.29417172501,2081.39029124117,2145.5268950605,2305.59850270425,2270.01444418854,1935.02908081906,2033.66641763527,1906.3443738235,2080.42787243553,1889.0469644234,1929.94769337706,2019.63952348899,2045.46497439447,1886.59073792128,2091.69427276259,2018.25548010353,2148.3498552171,2097.11846743411,2059.61507305764,2153.89409230231,2067.84404496615,2030.98698712934,2246.26695702645,1926.62274546989,2056.19752387644,NA,2063.6241191493,2126.94350853969,2116.01031677208
P38889,YHR206W,21.6020014735424,21.2907101557324,19.4814617777374,20.4820522117643,14.3000972241064,21.5075987882973,30.8186206298042,30.866280404435,27.9815447916085,31.1577862935262,31.9243218989381,18.9958524297309,30.5773607087876,29.7921551392474,27.1260463943488,26.431033235987,27.3132668475022,29.3784497395126,26.1339726947493,49.842014419449,20.5814653150709,28.0982994820828,36.3101875637988,22.2542648488323,30.0367018937324,31.360321293526,32.165842057384,35.0263357631909,27.6592514555631,39.1293083471689
P38890,YHR207C,17.3468498533322,18.3006547272973,17.3769217470826,NA,17.0952396685494,15.9737656691086,24.7118017900369,51.0486064924459,28.7085332182744,18.7165172622341,23.2367173885422,27.2537192937383,23.5527488778624,30.1137859192183,26.4654489817347,31.0588175981476,13.974346066249,26.2386882324174,20.9762180189733,27.3977384152433,20.008308744402,23.1827186918526,27.3507449954343,23.6331089563774,26.4622181216905,23.0153889556568,NA,29.5921525598188,22.6073063018104,25.1654583339785
P38891,YHR208W,3063.0399408779,3190.65758886229,3191.85110966297,3103.40100753826,3299.13758545151,3166.49914012672,3301.82637441063,3570.02042482742,3514.9343323634,3451.94854538077,3472.99292891838,3635.54665492048,3400.3542394753,3360.85262475194,3190.95334866725,3268.62945623371,3381.30183892052,3316.42226692016,3518.97562106113,3451.50165973428,3379.02365838464,3610.82130953915,3594.377126402,3552.25576761785,3459.14778075352,3547.2800447507,3267.78419856546,3540.59201367674,3469.61457398959,3505.45195784899
P38892,YHR209W,NA,42.029454719732,97.1536764189647,20.6658198591046,5.22840596266285,20.8204965165658,254.300017150668,8.89874083989234,23.7273278365804,38.3693553519464,94.2785673186541,12.6591445404172,47.0991400106338,20.2377447123404,9.43025748230932,26.970209197304,12.6338631054177,12.2967873786045,28.5567739808186,14.4763535180718,165.875599368545,41.9317803217845,13.3981108822817,12.7150602450517,62.3390005279777,17.6444878863971,17.2242014390586,52.1556230318156,105.549738080035,70.2618850247915
P38902,YOL005C,421.895741644159,447.056977540088,415.695045137874,430.126535137204,430.701806098091,400.131291180477,380.188046366614,398.12683114007,384.438428611283,405.485925814651,348.65080356446,373.708451576935,363.991085991113,358.688644485798,397.500297571213,378.262425980701,381.825592998168,371.72804091356,409.815767317367,395.223302304492,412.27696663302,431.667195408571,427.217068313452,451.132555849922,403.593050061423,401.217371594903,423.280185506809,409.142844997008,383.689492989599,409.300359650405
P38910,YOR020C,7588.35455136795,8119.25650050485,8430.23730115192,8286.46450863109,8389.45357120977,8522.37385931631,6068.10009120503,6923.76247883946,6549.63186064641,6489.39928432042,6154.22896789973,6544.97062377868,6480.85139495626,6756.72432139143,6884.92596958357,6002.07506417093,6550.01965273426,6514.70896687078,7851.71765921386,7569.45011009682,7611.4695554972,7306.70051617523,6981.63886685961,7055.85611054969,6095.26865759113,6793.01122648212,6887.87087144526,6595.90011110044,6791.61644961564,7075.00825927724
P38911,YML074C,1224.15462884929,1211.58362493218,1368.73411938491,1281.40512979975,1517.44213996838,1296.73403442012,1141.26463515806,1262.75782957362,1284.33506924486,1442.4660948385,1160.36448532465,1218.25999103521,1367.238082277,1242.78144131064,1102.91811840103,1197.29602966907,1236.47036368297,1175.07937913609,1342.89855101591,1289.25492427917,1279.06322238344,1350.26945921152,1269.09403060757,1355.85405956619,1207.60340619408,1312.93694399031,1199.07905871164,1297.08667570778,1219.24818430908,1384.79275662249
P38912,YMR260C,2056.29449209207,2097.98326022043,2131.83046915502,2086.84328769941,2118.4533093053,2174.9587384156,1664.13320244074,1758.99222698287,1990.32683515342,1749.32106249137,1701.6664746483,1712.766043427,1708.56023525206,1577.07785541682,1742.8644291072,1602.35660638058,1689.08335155341,1641.41657702523,1888.15840240074,1910.35168575985,1946.89637285023,1698.01264517001,1674.31759071828,2026.79179304695,1656.98181150438,1689.64891471088,1801.16052384556,1706.21540079977,1810.78466615977,1789.51574264
P38915,YLR055C,8.3815725941673,15.9215071023013,15.0198995339161,10.5314673158191,11.5479423558473,13.486765214955,18.3888319163901,14.8248705455,17.4528796691415,17.9512723539148,13.0989645138496,12.3050457435751,11.7928099243446,11.0558694834856,15.534348328742,18.0184618480105,11.9751716653284,14.3925530087406,8.79491560142139,16.2010009895666,16.6491984011986,12.3810908712975,15.2999364719111,8.97331500740818,17.8688575762216,12.8448713624107,22.8886289710856,14.0214462367559,13.4503908345714,17.0775333406046
P38922,YNL004W,49.5688893314012,49.4778149426973,47.4102845644948,57.0700188627177,54.715624471759,56.525485181493,51.0902783738573,49.9802752494723,54.9544114361526,53.6398795224064,52.3382867954,54.8033277675169,46.7329446086973,50.779732626463,50.7429053295089,44.2333432923624,49.7454660249132,46.9872295724157,50.7615009303895,55.0314488521671,62.1469901278487,57.9914199090284,46.2051685182385,52.7080566678312,54.8151236844495,51.4057791591915,56.4730004045668,49.6090637220781,55.4756077964931,53.579517078644
P38929,YGL006W,23.1763722721117,17.4162065123128,11.8772361788282,20.7703964949604,12.8802793738587,12.7153754955461,NA,17.5517924174813,13.6615541778921,18.9416069398813,14.5580464721831,12.5792777546921,18.3735975714197,15.1218695081894,17.1113171995952,21.2004023649611,17.7806813476784,20.3031552446972,25.2042275100133,14.6639561087508,11.8751911407712,12.5560831212297,10.3315243342449,8.39313610778447,18.9638549544949,18.4672570624345,NA,14.8782644587826,13.6204195909166,11.8887302652205
P38930,YOR039W,323.066124996501,363.286014102788,352.314554692665,278.288642944682,315.9302350887,332.288586090875,381.973394062403,322.763449885777,376.731556765754,294.078181599718,334.635749937235,306.925836026172,280.284764100316,291.429450851297,283.853651258463,295.770286888497,319.049629154722,317.971251729456,328.353033383521,287.425022658769,313.854573740017,331.579401909548,334.138310512708,294.300552689673,268.263904156782,315.962918296385,NA,340.710036525929,316.01075455199,337.51251882625
P38932,YGL095C,6.5801241441785,5.89602518566362,4.448726578962,4.67469867391956,5.01439145448066,4.85987679588014,6.34427863245816,7.12580344628827,5.68755537984424,6.49561942475399,6.40875903156637,7.86834549807309,5.60619354348957,6.8294357041154,6.80110924491192,7.08223493794496,8.08153367254805,6.73473257518952,7.27715713262723,6.25693532463835,6.23524629461807,7.26092231540644,6.19855807233434,6.78836218239165,6.25735668897615,7.42255160018142,8.36052916676913,7.45996942093841,7.2399584178426,7.58427427738965
